protein_a,protein_b,length_aa,length_a,length_b,rank_count,peak_score_rank_1,peak_score_rank_2,peak_score_rank_3,peak_score_min,peak_score_max,ptm_rank_1,ptm_rank_2,ptm_rank_3,ptm_min,ptm_max,iptm_rank_1,iptm_rank_2,iptm_rank_3,iptm_min,iptm_max,max_pae_rank_1,max_pae_rank_2,max_pae_rank_3,max_pae_min,max_pae_max,bait,partner,peak_avg,peak_max_norm,peak_min_norm,peak_values_norm,ptm_avg,iptm_avg,ptm_values,iptm_values,uniprot_url
A2GL_HUMAN,A1AG2_HUMAN,548,347,201,3,6.0,9.0,8.0,6.0,9.0,0.62,0.63,0.62,0.62,0.63,0.26,0.23,0.21,0.21,0.26,31.671875,31.6875,31.671875,31.671875,31.6875,A1AG2_HUMAN,A2GL_HUMAN,0.7444444444444445,0.8,0.7,0.8:0.7:0.733,0.6233333333333334,0.2333333333333333,0.62:0.63:0.62,0.26:0.23:0.21,https://www.uniprot.org/uniprotkb/A2GL_HUMAN/entry
A2ML1_HUMAN,A1AG2_HUMAN,1655,1454,201,3,8.0,13.0,12.0,8.0,13.0,0.79,0.74,0.72,0.72,0.79,0.6,0.33,0.33,0.33,0.6,31.640625,31.703125,31.703125,31.640625,31.703125,A1AG2_HUMAN,A2ML1_HUMAN,0.6333333333333333,0.7333333333333334,0.5666666666666667,0.733:0.567:0.6,0.75,0.42,0.79:0.74:0.72,0.6:0.33:0.33,https://www.uniprot.org/uniprotkb/A2ML1_HUMAN/entry
AMBP_HUMAN,A1AG2_HUMAN,553,352,201,3,4.0,16.0,10.0,4.0,16.0,0.53,0.42,0.42,0.42,0.53,0.52,0.24,0.2,0.2,0.52,31.703125,31.671875,31.71875,31.671875,31.71875,A1AG2_HUMAN,AMBP_HUMAN,0.6666666666666666,0.8666666666666667,0.4666666666666667,0.867:0.467:0.667,0.4566666666666666,0.32,0.53:0.42:0.42,0.52:0.24:0.2,https://www.uniprot.org/uniprotkb/AMBP_HUMAN/entry
APOD_HUMAN,A1AG2_HUMAN,390,189,201,3,13.0,14.0,13.0,13.0,14.0,0.52,0.52,0.52,0.52,0.52,0.19,0.18,0.18,0.18,0.19,31.625,31.6875,31.671875,31.625,31.6875,A1AG2_HUMAN,APOD_HUMAN,0.5555555555555556,0.5666666666666667,0.5333333333333333,0.567:0.533:0.567,0.52,0.18333333333333335,0.52:0.52:0.52,0.19:0.18:0.18,https://www.uniprot.org/uniprotkb/APOD_HUMAN/entry
CCL2_HUMAN,A1AG2_HUMAN,300,99,201,3,3.0,3.0,6.0,3.0,6.0,0.65,0.67,0.66,0.65,0.67,0.42,0.32,0.27,0.27,0.42,31.65625,31.6875,31.671875,31.65625,31.6875,A1AG2_HUMAN,CCL2_HUMAN,0.8666666666666667,0.9,0.8,0.9:0.9:0.8,0.66,0.33666666666666667,0.65:0.67:0.66,0.42:0.32:0.27,https://www.uniprot.org/uniprotkb/CCL2_HUMAN/entry
CD4_HUMAN,A1AG2_HUMAN,659,458,201,3,4.0,8.0,11.0,4.0,11.0,0.5,0.5,0.5,0.5,0.5,0.48,0.23,0.18,0.18,0.48,31.734375,31.734375,31.734375,31.734375,31.734375,A1AG2_HUMAN,CD4_HUMAN,0.7444444444444445,0.8666666666666667,0.6333333333333333,0.867:0.733:0.633,0.5,0.29666666666666663,0.5:0.5:0.5,0.48:0.23:0.18,https://www.uniprot.org/uniprotkb/CD4_HUMAN/entry
CERU_HUMAN,A1AG2_HUMAN,1266,1065,201,3,15.0,14.0,19.0,14.0,19.0,0.85,0.84,0.84,0.84,0.85,0.29,0.29,0.24,0.24,0.29,31.65625,31.6875,31.703125,31.65625,31.703125,A1AG2_HUMAN,CERU_HUMAN,0.4666666666666666,0.5333333333333333,0.3666666666666667,0.5:0.533:0.367,0.8433333333333333,0.2733333333333333,0.85:0.84:0.84,0.29:0.29:0.24,https://www.uniprot.org/uniprotkb/CERU_HUMAN/entry
CO8G_HUMAN,A1AG2_HUMAN,403,202,201,3,7.0,6.0,5.0,5.0,7.0,0.48,0.5,0.49,0.48,0.5,0.29,0.27,0.25,0.25,0.29,31.515625,31.59375,31.59375,31.515625,31.59375,A1AG2_HUMAN,CO8G_HUMAN,0.7999999999999999,0.8333333333333334,0.7666666666666666,0.767:0.8:0.833,0.49,0.27,0.48:0.5:0.49,0.29:0.27:0.25,https://www.uniprot.org/uniprotkb/CO8G_HUMAN/entry
F13B_HUMAN,A1AG2_HUMAN,862,661,201,3,9.0,13.0,19.0,9.0,19.0,0.35,0.34,0.32,0.32,0.35,0.42,0.33,0.19,0.19,0.42,31.65625,31.71875,31.6875,31.65625,31.71875,A1AG2_HUMAN,F13B_HUMAN,0.5444444444444444,0.7,0.3666666666666667,0.7:0.567:0.367,0.33666666666666667,0.3133333333333333,0.35:0.34:0.32,0.42:0.33:0.19,https://www.uniprot.org/uniprotkb/F13B_HUMAN/entry
FA9_HUMAN,A1AG2_HUMAN,662,461,201,3,18.0,12.0,17.0,12.0,18.0,0.5,0.49,0.49,0.49,0.5,0.17,0.16,0.14,0.14,0.17,31.703125,31.71875,31.6875,31.6875,31.71875,A1AG2_HUMAN,FA9_HUMAN,0.4777777777777778,0.6,0.4,0.4:0.6:0.433,0.49333333333333335,0.15666666666666668,0.5:0.49:0.49,0.17:0.16:0.14,https://www.uniprot.org/uniprotkb/FA9_HUMAN/entry
